codeSubstance;denominationSubstance;natureComposant;;;
5431;LIDOCAÏNE;ST;;;
45287;LUTÉCIUM (177LU) OXODOTRÉOTIDE;SA;;;
1758;DROPÉRIDOL;SA;;;
85141;ENZALUTAMIDE;SA;;;
25329;CHLORHYDRATE D'AZÉLASTINE;SA;;;
96027;NÉBIVOLOL;ST;;;
6018;CÉTRIMIDE;SA;;;
73377;PHOSPHATE DE DEXAMÉTHASONE;ST;;;
41629;NONACOG ALFA ;SA;;;
4090;CARBIDOPA ANHYDRE;SA;;;
2340;MÉTHOCARBAMOL;SA;;;
44321;PRIMULA OBCONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
67329;HYDROCYANICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4971;HÉPARINE CALCIQUE;SA;;;
25645;VIVIANITE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
46098;HARPAGOPHYTUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
602;CHLORHYDRATE DE MIANSÉRINE;SA;;;
861;CHLORHYDRATE DE NALOXONE ANHYDRE;ST;;;
79853;CHLORHYDRATE DE NALOXONE DIHYDRATÉ;SA;;;
26138;CELLULES AUTOLOGUES CD3+ TRANSDUITES ANTI-CD19 ;SA;;;
1068;TRANEXAMIQUE (ACIDE);SA;;;
5291;DÉSOXYRIBONUCLÉASE;SA;;;
95165;ENCORAFÉNIB;SA;;;
59860;BRINZOLAMIDE;SA;;;
6580;GRINDÉLIA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
77086;TACROLIMUS;ST;;;
98322;TACROLIMUS MONOHYDRATÉ;SA;;;
14446;FUROATE DE MOMÉTASONE;ST;;;
33681;FUROATE DE MOMÉTASONE MONOHYDRATÉ;SA;;;
14832;PYROPHOSPHATE DE SODIUM DÉCAHYDRATÉ;SA;;;
17443;INÉBILIZUMAB ;SA;;;
75817;AZÉLASTINE;ST;;;
39244;SERUM EQUI POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
1095;ALLIUM CEPA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
981;ACIDE URSODÉSOXYCHOLIQUE;SA;;;
60273;ESTER BORONIQUE DE MANNITOL;SA;;;
98525;BORTÉZOMIB;ST;;;
968;BÉTAHISTINE (MÉSILATE DE);SA;;;
4491;PUNICA GRANATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
1837;TÉTRACYCLINE;ST;;;
73749;MALUS COMMUNIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4442;METFORMINE;ST;;;
24321;METFORMINE (CHLORHYDRATE DE);SA;;;
40035;VILDAGLIPTINE;SA;;;
3641;ASCORBATE DE CALCIUM;SA;;;
94401;CHLORHYDRATE DE BENDAMUSTINE;SA;;;
8744;CHLORHYDRATE D'URAPIDIL;SA;;;
11673;URAPIDIL;ST;;;
43730;DIBOTERMINE ALFA ;SA;;;
44781;DASABUVIR;ST;;;
47615;DASABUVIR SODIQUE MONOHYDRATÉ;SA;;;
28416;VANCOMYCINE BASE;ST;;;
2947;ACIDE MALIQUE;SA;;;
93297;HYDROXYÉTHYLAMIDON 130/0,4;SA;;;
26064;EMPAGLIFLOZINE;SA;;;
17537;SÉRUM D'ANGUILLE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
263;PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4876;KALIUM BROMATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5495;GELSEMIUM SEMPERVIRENS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
48296;CLINDAMYCINE BASE;ST;;;
97838;CHLORHYDRATE DE CLINDAMYCINE HYDRATÉ;SA;;;
2699;CHLORHYDRATE D'ISOTHIPENDYL;SA;;;
50239;PARATHYROIDINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
43744;PERTUZUMAB ;SA;;;
10876;SODIUM (OXYBATE DE);SA;;;
33207;ROSUVASTATINE;SA;;;
3396;MÉTHOXSALÈNE;SA;;;
63854;CÉLÉCOXIB;SA;;;
27538;PYRITE DE FER POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
44234;ÉSOMÉPRAZOLE SODIQUE;SA;;;
66431;CIPROFLOXACINE;SA;;;
2099;INDOMÉTACINE;SA;;;
58945;ANAGALLIS ARVENSIS, INFUSÉ POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5390;CALCIUM (FOLINATE DE);SA;;;
97773;TRASTUZUMAB ;SA;;;
7223;MAGNESIA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
9629;EUPHRASIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
29053;SURRENINE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
933;TARTRATE DE MÉTOPROLOL;SA;;;
626;SALBUTAMOL;ST;;;
3559;SULFATE DE SALBUTAMOL;SA;;;
79480;ACAMPROSATE CALCIQUE;SA;;;
11448;CARBIDOPA;SA;;;
3401;MINOCYCLINE (CHLORHYDRATE DE);SA;;;
37703;MINOCYCLINE BASE;ST;;;
64851;TAMSULOSINE;ST;;;
71869;EPTACOG ALFA (ACTIVÉ) ;SA;;;
48940;MONOXYDE D'AZOTE;SA;;;
66548;FLUDÉSOXYGLUCOSE [18F];SA;;;
62771;SEQUOIA GIGANTEA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
40810;LACTATE DE PANOBINOSTAT ANHYDRE;SA;;;
53428;PANOBINOSTAT;ST;;;
23185;TRÉPROSTINIL SODIQUE;SA;;;
98145;TRÉPROSTINIL;ST;;;
20863;ALMINOPROFÈNE;SA;;;
60258;ÉNOXIMONE;SA;;;
4287;VALÉRATE D'ESTRADIOL;SA;;;
5988;CHLORHYDRATE D'APRACLONIDINE;SA;;;
36528;APRACLONIDINE;ST;;;
71667;APALUTAMIDE;SA;;;
67442;BERBERIS VULGARIS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
51799;LONOCTOCOG ALFA ;SA;;;
1903;IPÉCA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
20540;ACARBOSE;SA;;;
12855;NAPROXÈNE SODIQUE;SA;;;
18827;DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ;SA;;;
47554;PRAMIPEXOLE;ST;;;
83;PIRACÉTAM;SA;;;
59737;RILUZOLE;SA;;;
26590;AMOROLFINE BASE;ST;;;
53732;CHLORHYDRATE D'AMOROLFINE;SA;;;
56132;ADÉFOVIR DIPIVOXIL;SA;;;
58472;ADÉFOVIR;ST;;;
71196;AETHIOPS MERCURIALIS MINERALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
96983;VIRUS VARICELLE-ZONA SOUCHE OKA/MERCK (VIVANT, ATTÉNUÉ) ;SA;;;
72310;INDIUM [111 IN] (PENTÉTATE D');SA;;;
2438;PHÉNYLÉPHRINE;ST;;;
3088;CHLORHYDRATE DE PHÉNYLÉPHRINE;SA;;;
95405;CARBOXYMALTOSE FERRIQUE;SA;;;
4857;TERBUTALINE (SULFATE DE);SA;;;
14116;AURUM MURIATICUM NATRONATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
89262;ÉVOLOCUMAB ;SA;;;
991;FLUBENDAZOLE;SA;;;
22322;TAPENTADOL;ST;;;
24583;CHLORHYDRATE DE TAPENTADOL;SA;;;
2380;NITRICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
889;PEROXYDE DE BENZOYLE;SA;;;
69506;ADAPALÈNE;SA;;;
890;COCHLEARIA ARMORACIA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
97363;BACTÉRIE B C G LYOPHILISÉ;SA;;;
917;CLINDAMYCINE (PHOSPHATE DE);SA;;;
13556;PANCRÉATINE ;SA;;;
3778;CHLORHEXIDINE (GLUCONATE DE);SA;;;
3009;ATOVAQUONE;SA;;;
30216;CHLORHYDRATE DE PROGUANIL;SA;;;
93367;EXÉNATIDE;SA;;;
3302;DÉCANOATE DE FLUPHÉNAZINE;SA;;;
77479;RALTITREXED;SA;;;
39881;BOLDO (EXTRAIT SEC DE);SA;;;
9798;MORNIFLUMATE;SA;;;
63547;SIMOCTOCOG ALFA ;SA;;;
62943;STRONTIUM CARBONICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
35461;CARTILAGE DE CONJUGAISON POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
80102;MONTÉLUKAST ACIDE;ST;;;
28664;ANTITHROMBINE HUMAINE ;SA;;;
91424;MARAVIROC;SA;;;
55686;SILICEA NATURALE (QUARTZ) POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
76840;MOXONIDINE;SA;;;
13274;PRAZIQUANTEL;SA;;;
152;NIAOULI (HUILE ESSENTIELLE DE);SA;;;
47784;CHLORHYDRATE DE MÉTHADONE;SA;;;
72;BIOTINE;SA;;;
597;PHOSPHATE SODIQUE DE RIBOFLAVINE DIHYDRATÉ;SA;;;
923;ALPHA-TOCOPHÉROL;SA;;;
1040;ACIDE FOLIQUE;SA;;;
2201;DEXPANTHÉNOL;SA;;;
2284;PYRIDOXINE;ST;;;
2331;RIBOFLAVINE;ST;;;
4031;PALMITATE DE RÉTINOL;SA;;;
4113;ACIDE PANTOTHÉNIQUE;ST;;;
30788;COCARBOXYLASE TÉTRAHYDRATÉ;SA;;;
48694;THIAMINE;ST;;;
4150;SULFATE D'ATROPINE;SA;;;
54515;EUPHORBIA LATHYRIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
62180;ACÉCLOFÉNAC;SA;;;
35166;TAMOXIFÈNE;ST;;;
832;ISOCONAZOLE (NITRATE D');SA;;;
38700;SUCCINATE DE TÉNOFOVIR DISOPROXIL;SA;;;
5356;ALGINATE DE SODIUM;SA;;;
13009;LAPPA MAJOR POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
23082;LACHESIS MUTUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
43255;BRYOPHYLLUM CALYCINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
3779;PHOSPHATE DE CHLOROQUINE;SA;;;
21497;CHLOROQUINE;ST;;;
6899;STANNUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
21844;APATITE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
6431;LORATADINE;SA;;;
901;SODIUM (CHLORURE DE);SA;;;
1351;CARBAMAZÉPINE;SA;;;
30476;PARIS QUADRIFOLIA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
61852;FUCUS CRISPUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
69065;ALNUS GLUTINOSA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
92098;BITARTRATE DE NICOTINE DIHYDRATÉ;SA;;;
18256;ESCHSCHOLTZIA CALIFORNICA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
72513;CÉNOBAMATE;SA;;;
29205;CITRATE DE BÉTAÏNE ANHYDRE;SA;;;
24475;PLUMBUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
38193;MOXIFLOXACINE;ST;;;
45328;CHLORHYDRATE DE MOXIFLOXACINE;SA;;;
594;FLURBIPROFÈNE;SA;;;
3019;MAGNÉSIUM (SULFATE DE) HEPTAHYDRATÉ;SA;;;
3496;POLYVIDONE IODÉE;SA;;;
17575;CORALLIUM RUBRUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4963;DIISÉTHIONATE D'HEXAMIDINE;SA;;;
99417;OBINUTUZUMAB ;SA;;;
29225;SABADILLA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
41996;REIN MEDULLAIRE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
29486;OLMÉSARTAN MÉDOXOMIL;SA;;;
92319;SÉLEXIPAG;SA;;;
3151;AMYLMÉTACRÉSOL;SA;;;
3152;ALCOOL DICHLORO-2,4 BENZYLIQUE;SA;;;
21071;HELIANTHUS ANNUUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
251;HAMAMELIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4614;AESCULUS HIPPOCASTANUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
8234;BOLDO (PEUMUS BOLDUS) ;SA;;;
16278;COLLINSONIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
26701;VERBASCUM THAPSUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
65045;AZTRÉONAM DE LYSINE;SA;;;
79481;AZTRÉONAM;ST;;;
2914;SULPIRIDE;SA;;;
11760;NORDAZÉPAM;SA;;;
4593;BRYONIA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5957;EUCALYPTUS GLOBULUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
9401;SENEGA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
18614;EUPATORIUM PERFOLIATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
910;COLCHICUM AUTUMNALE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
15372;NORFLOXACINE;SA;;;
99961;ALGLUCOSIDASE ALFA ;SA;;;
79600;CÉFUROXIME AXÉTIL;SA;;;
746;MÉTHYLE (DIACÉTYLCYSTÉINATE DE);SA;;;
4919;CHLORHYDRATE DE GLUCOSAMINE;SA;;;
90495;SULFATE DE CHONDROÏTINE  ;SA;;;
11789;ISOFLURANE;SA;;;
1080;ADRÉNALINE;SA;;;
13234;ALFALFA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
82142;BCG (BACILLES DE CALMETTE-GUÉRIN), MYCOBACTÉRIUM BOVIS, SOUCHE DANOISE 1331, VIVANTE ATTÉNUÉE;SA;;;
83817;VELMANASE ALFA ;SA;;;
59110;VERATRUM VIRIDE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
907;BROMAZÉPAM;SA;;;
65381;SULFATE DE CIPROFLOXACINE;SA;;;
8605;TEREBENTHINA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
15325;RUTA GRAVEOLENS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
21899;RANUNCULUS BULBOSUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
91347;GNAPHALIUM POLYCEPHALUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
1397;BELLADONNA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
24996;ZONISAMIDE;SA;;;
40435;TIAGABINE (CHLORHYDRATE DE) MONOHYDRATÉ;SA;;;
77086;TACROLIMUS ANHYDRE;ST;;;
42537;ONDANSÉTRON;SA;;;
905;SULFATE DE SODIUM ANHYDRE;SA;;;
1182;ASCORBATE DE SODIUM;SA;;;
1785;ÉRYTHROMYCINE;SA;;;
56635;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE;SA;;;
57675;HAEMOPHILUS TYPE B (POLYOSIDE) CONJUGUÉ À LA PROTÉINE TÉTANIQUE;SA;;;
4188;CALCIUM (FLUORURE DE);SA;;;
83234;BARDANE (GRANDE) (RACINE DE) (POUDRE DE);SA;;;
64399;GALIUM APARINE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
74765;CODÉINE (PHOSPHATE DE);SA;;;
77311;DICHLORHYDRATE DE CÉFÉPIME MONOHYDRATÉ;SA;;;
1615;PODOPHYLLOTOXINE;SA;;;
1261;BÉTAMÉTHASONE;SA;;;
65947;ISPAGHUL (TÉGUMENT DE LA GRAINE D') (POUDRE DE);SA;;;
31;L-ALANINE;SA;;;
544;L-HISTIDINE;SA;;;
550;L-ISOLEUCINE;SA;;;
555;L-LEUCINE;SA;;;
563;L-LYSINE;ST;;;
610;L-PHÉNYLALANINE;SA;;;
629;L-SÉRINE;SA;;;
631;ACÉTATE DE SODIUM;SA;;;
658;L-THRÉONINE;SA;;;
674;L-TRYPTOPHANE;SA;;;
675;L-VALINE;SA;;;
1178;L-ARGININE;SA;;;
2666;L-MÉTHIONINE;SA;;;
3018;MAGNÉSIUM (CHLORURE DE) CRISTALLISÉ;SA;;;
3482;L-PROLINE;SA;;;
3605;L-TYROSINE;SA;;;
2709;LACTULOSE;ST;;;
14672;LACTULOSE LIQUIDE;SA;;;
88044;AZACITIDINE;SA;;;
15089;LACTICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
67400;THYMULINE  POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
26561;TÉRIPARATIDE ;SA;;;
87746;TOPOTÉCANE (CHLORHYDRATE DE);SA;;;
93066;TOPOTÉCANE;ST;;;
6780;FERRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
6247;TRIOXYDE D'ARSENIC;SA;;;
64438;LOSARTAN;ST;;;
5;ACÉTYLSALICYLIQUE (ACIDE);SA;;;
420;CAFÉINE;ST;;;
3093;CAFÉINE MONOHYDRATÉE;SA;;;
15304;LISINOPRIL;ST;;;
81476;VIGABATRINE;SA;;;
19237;SAMBUCUS NIGRA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
22712;MILLEFOLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
41909;BÉSILATE DE CLOPIDOGREL;SA;;;
628;CHLORURE DE CÉTYLPYRIDINIUM;SA;;;
21;ADÉNOSINE ET D'HEPTAMINOL (PHOSPHATE D');SA;;;
12225;MÉTHYLPHÉNIDATE;ST;;;
37973;RIVASTIGMINE;SA;;;
48016;PÉMIGATINIB;SA;;;
19483;TUCATINIB;SA;;;
8743;CINERARIA MARITIMA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
59885;BÉCLOMÉTASONE BASE;ST;;;
46548;PYROGENIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2087;HYDROXYZINE (CHLORHYDRATE D');SA;;;
5;ACIDE ACÉTYLSALICYLIQUE;ST;;;
3107;DL-LYSINE (ACÉTYLSALICYLATE DE);SA;;;
3778;GLUCONATE DE CHLORHEXIDINE;ST;;;
21178;CARRAGHÉNATES;SA;;;
50903;SOLANUM NIGRUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
3188;CHLORHYDRATE DE CHLORTÉTRACYCLINE;SA;;;
16703;SERUM ANTICOLIBACILLAIRE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
20030;PACLITAXEL;SA;;;
33497;STIBINE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
23441;MÉLATONINE;SA;;;
10471;CHLORHYDRATE D'ESMOLOL;SA;;;
19770;GINKGO (EXTRAIT SEC RAFFINÉ ET QUANTIFIÉ DE);SA;;;
602;MIANSÉRINE (CHLORHYDRATE DE);SA;;;
163;FIBRINOGÈNE HUMAIN ;SA;;;
2376;MÉTOPIMAZINE;SA;;;
3385;ACIDE TIAPROFÉNIQUE;SA;;;
53433;CURARE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
65268;IMMUNOGLOBULINE HUMAINE DE L'HÉPATITE B ;SA;;;
28021;BIFONAZOLE;SA;;;
44187;INDIGO POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
5084;OR COLLOÏDAL;SA;;;
79270;CHLORHYDRATE DE RALOXIFÈNE;SA;;;
93678;RALOXIFÈNE;ST;;;
80114;ADALIMUMAB ;SA;;;
41587;CHLORHYDRATE D'HEXYL AMINOLÉVULINATE;SA;;;
94369;HEXYL AMINOLÉVULINATE;ST;;;
10130;KALIUM BICHROMICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
29261;ÉTHANOL À X POUR CENT;SA;;;
1023;ACIDE ASCORBIQUE;ST;;;
5087;OXYCODONE (CHLORHYDRATE D');SA;;;
5216;TÉTRACAÏNE (CHLORHYDRATE DE);SA;;;
34;BUPIVACAÏNE (CHLORHYDRATE DE) MONOHYDRATÉ;SA;;;
42227;CHLORHYDRATE DE BUPIVACAÏNE ANHYDRE;ST;;;
4476;PECTINE;SA;;;
23318;CELLULOSE MICROCRISTALLINE;SA;;;
84248;SILICE COLLOÏDALE HYDRATÉE;SA;;;
1;LOPÉRAMIDE (CHLORHYDRATE DE);SA;;;
48081;VERONICA OFFICINALIS, DÉCOCTÉ POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
4028;ALVÉRINE (CITRATE D');SA;;;
96988;PAPAVER RHOEAS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
8173;ÉPOÉTINE ALFA ;SA;;;
71920;STAPHYLOTOXINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
26;ACIDE TARTRIQUE;SA;;;
2123;SODIUM (PROPIONATE DE);SA;;;
4041;LAURYLSULFATE DE SODIUM;SA;;;
14743;OXYQUINOL;SA;;;
7773;PHOSPHORUS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
67549;RABÉPRAZOLE;ST;;;
24745;ANACARDIUM ORIENTALE POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
24277;IBANDRONIQUE (ACIDE);ST;;;
86008;IBANDRONIQUE (ACIDE), SEL MONOSODIQUE, MONOHYDRATÉ;SA;;;
28169;JUGLANS REGIA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2338;CHLORHYDRATE DE NALBUPHINE;SA;;;
47372;CASPOFUNGINE;ST;;;
56283;BISMUTHUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
89275;DISCI LUMBALES POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
97658;BISOPROLOL;ST;;;
79196;POUDRE DE FEUILLE D'ORTHOSIPHON;SA;;;
1182;ASCORBATE SODIQUE;SA;;;
17061;CEFPODOXIME;ST;;;
99303;CEFPODOXIME PROXÉTIL;SA;;;
94880;CLOFARABINE;SA;;;
4129;ACÉTYLLEUCINE;SA;;;
56277;MÉLILOT (EXTRAIT FLUIDE DE);SA;;;
210;METFORMINE (EMBONATE DE);SA;;;
60929;CÉTIRIZINE (DICHLORHYDRATE DE);SA;;;
61823;ACIDE OBÉTICHOLIQUE;SA;;;
26150;PROMÉGESTONE;SA;;;
35143;BIVALIRUDINE;SA;;;
4180;BOLDINE;SA;;;
19022;DIHYDROGÉNOPHOSPHATE DE SODIUM ANHYDRE;SA;;;
8;ACIDE BORIQUE;SA;;;
4572;SOUCI (TEINTURE DE);SA;;;
4594;BENJOIN (TEINTURE DE);SA;;;
5791;BRYONE (TEINTURE DE);SA;;;
79803;PHYTOLAQUE (TEINTURE DE);SA;;;
19757;CÉFAZOLINE;ST;;;
3540;DÉSONIDE;SA;;;
24391;ERIODICTYON CALIFORNICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
27488;FLUNARIZINE;ST;;;
27929;FLUNARIZINE (DICHLORHYDRATE DE);SA;;;
74798;CLOZAPINE;SA;;;
2612;MÉQUINOL;SA;;;
86327;SEL DE TFA DE HYNIC-[D-PHÉ1,TYR3-OCTRÉOTIDE];SA;;;
91598;ACIDE ÉTHYLÈNEDIAMINE-N,N'-DIACÉTIQUE;SA;;;
78;PINDOLOL;SA;;;
42470;LÉFLUNOMIDE;SA;;;
81626;MIGLUSTAT;SA;;;
987;CYPROTÉRONE (ACÉTATE DE);SA;;;
95404;GADOTÉRIDOL;SA;;;
34251;SILDÉNAFIL (CITRATE DE);SA;;;
77887;CONCENTRAT DE VITAMINE A SYNTHÉTIQUE, FORME HUILEUSE;SA;;;
49189;BROMURE D'IPRATROPIUM;SA;;;
16951;ONDANSÉTRON (CHLORHYDRATE D') DIHYDRATÉ;SA;;;
630;PIRIBÉDIL (MÉSILATE DE);SA;;;
45730;(S)-LACTATE DE SODIUM;SA;;;
783;CHLORHYDRATE DE TICLOPIDINE;SA;;;
251;HAMAMÉLIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
269;VIBURNUM PRUNIFOLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
430;CALCIUM (CHLORURE DE) DIHYDRATÉ;SA;;;
63;SULFATE DE BARYUM;SA;;;
79568;OXYDE DE MAGNÉSIUM LOURD;SA;;;
4913;FUSIDATE DE SODIUM;SA;;;
73224;AETHUSA CYNAPIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
264;TRIHEXYPHÉNIDYLE (CHLORHYDRATE DE);SA;;;
23918;LÉVOCABASTINE BASE;ST;;;
3456;GLUCONATE DE POTASSIUM;SA;;;
30272;POTASSIUM;ST;;;
97367;ÉRYSIMUM (SOMMITÉ FLEURIE D') (EXTRAIT SEC DE);SA;;;
1473;ZINC;ST;;;
5246;GLUCONATE DE ZINC;SA;;;
43182;EXTRAIT MOU DE GRINDÉLIA;SA;;;
51781;EXTRAIT MOU DE GELSÉMIUM;SA;;;
24312;LONICERA CAPRIFOLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
98763;CHLORHYDRATE DE MIDODRINE;SA;;;
33424;OCRIPLASMINE ;SA;;;
3850;BROMURE DE GLYCOPYRRONIUM;SA;;;
20884;GLYCOPYRRONIUM;ST;;;
26898;ACÉTATE D'INDACATÉROL;SA;;;
33543;INDACATÉROL;ST;;;
15646;PHOSPHATE DE TÉDIZOLID;SA;;;
30227;CHLORHYDRATE DE CÉFOTIAM HEXÉTIL;SA;;;
91811;CÉFOTIAM;ST;;;
16661;CHLORHYDRATE D'ARTICAÏNE;SA;;;
76288;ARTICAÏNE BASE;ST;;;
93762;VACCINOTOXINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
31174;FOSAMPRÉNAVIR CALCIQUE;SA;;;
94100;FOSAMPRÉNAVIR;ST;;;
6736;THYROIDEA POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
35118;POUDRE DE PANCRÉAS ;SA;;;
6771;VISCUM ALBUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
76015;SIEGESBECKIA ORIENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
2667;MIDAZOLAM;SA;;;
45009;PHOSPHATE DE FLUDARABINE;SA;;;
79968;HÉMITARTRATE DE RASAGILINE;SA;;;
5085;ORNITHINE (OXOGLURATE D');SA;;;
35;ÉTHANOL À 96 POUR CENT;SA;;;
39511;BOURDAINE (ECORCE DE) (EXTRAIT SEC D');SA;;;
49212;CASCARA (ÉCORCE DE) (EXTRAIT SEC DE);SA;;;
51748;FUCUS (THALLE DE) (EXTRAIT SEC DE);SA;;;
469;COLCHICINE;SA;;;
3590;MÉTILSULFATE DE TIÉMONIUM;SA;;;
5100;POUDRE D'OPIUM;SA;;;
127;BAUME DU PÉROU;SA;;;
951;SALOL;SA;;;
97972;ALPHA BISABOLOL NATUREL;SA;;;
93;POTASSIUM (CHLORURE DE);SA;;;
2169;PREDNISOLONE;ST;;;
3981;MÉTASULFOBENZOATE SODIQUE DE PREDNISOLONE;SA;;;
25472;OCIMUM CANUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
99575;AURUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
79486;NIMODIPINE;SA;;;
39799;TOFACITINIB;ST;;;
87834;CITRATE DE TOFACITINIB;SA;;;
616;QUININE;ST;;;
618;CHLORHYDRATE DE QUININE;SA;;;
4942;OLIBANUM POUR PRÉPARATIONS HOMÉOPATHIQUES;SA;;;
