CodeCIS	Denomination	FormePharmaceutique	VoiesAdministration
64522751	APROVEL 300 mg, comprimé pelliculé	comprimé pelliculé	orale
64933635	APROVEL 75 mg, comprimé pelliculé	comprimé pelliculé	orale
68530375	APTIVUS 100 mg/ml, solution buvable	solution buvable	orale
67219072	APTIVUS 250 mg, capsule molle	capsule molle	orale
65504674	APURONE, comprimé	comprimé	orale
60623984	AQUA MARINA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
64407610	AQUA MARINA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  solution en gouttes en gouttes	"orale;sublinguale"
63781726	AQUAREST 0,2 %, gel opthalmique en récipient unidose	gel	ophtalmique
60727171	AQUILEGIA VULGARIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60375001	ARACYTINE 1 g, poudre pour solution pour perfusion (I.V.)	poudre pour solution pour perfusion	intraveineuse
61517592	ARACYTINE 100 mg, poudre et solvant pour solution injectable	poudre et  solvant pour solution injectable	"intrathécale;intraveineuse;sous-cutanée"
66523859	ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)	poudre pour solution pour perfusion	intraveineuse
69737206	ARACYTINE 500 mg, poudre pour solution pour perfusion	poudre pour solution pour perfusion	intraveineuse
61643623	ARALIA RACEMOSA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60821891	ARALIA RACEMOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
65172528	ARANEA DIADEMA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
69686815	ARANEA DIADEMA LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
66207964	ARANEA DIADEMA WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	granules et  solution en gouttes en gouttes	"orale;sublinguale"
66066271	ARANESP 10 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
64912872	ARANESP 100 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
62363097	ARANESP 100 microgrammes, solution injectable en stylo prérempli	solution injectable	sous-cutanée
64899318	ARANESP 130 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
69627140	ARANESP 150 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
68368699	ARANESP 150 microgrammes, solution injectable en stylo prérempli	solution injectable	sous-cutanée
65220720	ARANESP 20 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
69581846	ARANESP 30 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
68878862	ARANESP 300 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
65634493	ARANESP 300 microgrammes, solution injectable en stylo prérempli	solution injectable	sous-cutanée
62710847	ARANESP 40 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
62429565	ARANESP 40 microgrammes, solution injectable en stylo prérempli	solution injectable	sous-cutanée
64181047	ARANESP 50 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
68721487	ARANESP 500 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
67752832	ARANESP 500 microgrammes, solution injectable en stylo prérempli	solution injectable	sous-cutanée
65521079	ARANESP 60 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
68759025	ARANESP 60 microgrammes, solution injectable en stylo prérempli	solution injectable	sous-cutanée
61405223	ARANESP 80 microgrammes, solution injectable en seringue préremplie	solution injectable	"intraveineuse;sous-cutanée"
69485666	ARANESP 80 microgrammes, solution injectable en stylo prérempli	solution injectable	sous-cutanée
62780055	ARAVA 10 mg, comprimé pelliculé	comprimé pelliculé	orale
66218213	ARAVA 100 mg, comprimé pelliculé	comprimé pelliculé	orale
65739590	ARAVA 20 mg, comprimé pelliculé	comprimé pelliculé	orale
67526000	ARBUTUS UNEDO BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
64384738	ARCALION 200 mg, comprimé enrobé	comprimé enrobé	orale
62531470	ARCALION 200 mg, comprimé enrobé	comprimé enrobé	orale
65646086	ARCOXIA 30 mg, comprimé pelliculé	comprimé pelliculé	orale
63964446	ARCOXIA 60 mg, comprimé pelliculé	comprimé pelliculé	orale
65223346	ARESTAL 1 mg, comprimé	comprimé	orale
60720216	ARGANOVA 1 mg/mL, solution pour perfusion	solution pour perfusion	intraveineuse
65905051	ARGANOVA 100 mg/mL, solution à diluer pour perfusion en multidose	solution à diluer pour perfusion	intraveineuse
60588106	ARGANOVA 100 mg/ml, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
67703372	ARGATROBAN ACCORD 1 mg/mL, solution pour perfusion	solution pour perfusion	intraveineuse
66225389	ARGEMONE MEXICANA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
63606303	ARGENT NATIF BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
66269058	ARGENTITE WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH	 crème et solution et granules et poudre et pommade	"cutanée;orale;sublinguale"
61798292	ARGENTUM COMPLEXE N°98, comprimé sublingual	comprimé	sublinguale
64609658	ARGENTUM METALLICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60429075	ARGENTUM METALLICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
68284849	ARGENTUM METALLICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 solution et granules et poudre et pommade	"cutanée;orale;sublinguale"
66117417	ARGENTUM NITRICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60902286	ARGENTUM NITRICUM FERRIER, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	granules	"orale;sublinguale"
64946732	ARGENTUM NITRICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
67785088	ARGENTUM NITRICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  poudre et  solution en gouttes en gouttes	"orale;sublinguale"
62885889	ARGININE VEYRON, solution buvable en ampoule	solution buvable	orale
68869347	ARGININE VEYRON, solution buvable en flacon	solution buvable	orale
69937648	ARGINOTRI-B, comprimé pelliculé	comprimé pelliculé	orale
69050347	ARICEPT 10 mg, comprimé orodispersible	comprimé orodispersible	orale
62650485	ARICEPT 10 mg, comprimé pelliculé	comprimé pelliculé	orale
62262995	ARICEPT 5 mg, comprimé orodispersible	comprimé orodispersible	orale
69972923	ARICEPT 5 mg, comprimé pelliculé	comprimé pelliculé	orale
65156805	ARIKAYCE LIPOSOMAL 590 mg, dispersion pour inhalation par nébuliseur	dispersion pour inhalation par nébuliseur	inhalée
62303214	ARIMIDEX 1 mg, comprimé pelliculé	comprimé pelliculé	orale
69890344	ARIMIDEX 1 mg, comprimé pelliculé	comprimé pelliculé	orale
62292020	ARIMIDEX 1 mg, comprimé pelliculé	comprimé pelliculé	orale
62622105	ARIMIDEX 1 mg, comprimé pelliculé	comprimé pelliculé	orale
68031753	ARIMIDEX 1 mg, comprimé pelliculé	comprimé pelliculé	orale
68923567	ARIPIPRAZOLE ACCORD 10 mg, comprimé	comprimé	orale
67723873	ARIPIPRAZOLE ACCORD 15 mg, comprimé	comprimé	orale
67398390	ARIPIPRAZOLE ACCORD 5 mg, comprimé	comprimé	orale
69504216	ARIPIPRAZOLE ALMUS 10 mg, comprimé	comprimé	orale
67423363	ARIPIPRAZOLE ALMUS 15 mg, comprimé	comprimé	orale
64746201	ARIPIPRAZOLE ALMUS 5 mg, comprimé	comprimé	orale
67830373	ARIPIPRAZOLE ARROW 1 mg/mL, solution buvable	solution buvable	orale
69245429	ARIPIPRAZOLE ARROW 10 mg, comprimé	comprimé	orale
63009817	ARIPIPRAZOLE ARROW 10 mg, comprimé orodispersible	comprimé orodispersible	orale
62653200	ARIPIPRAZOLE ARROW 15 mg, comprimé	comprimé	orale
66566892	ARIPIPRAZOLE ARROW 15 mg, comprimé orodispersible	comprimé orodispersible	orale
69302392	ARIPIPRAZOLE ARROW 5 mg, comprimé	comprimé	orale
69675822	ARIPIPRAZOLE BGR 10 mg, comprimé	comprimé	orale
68439420	ARIPIPRAZOLE BGR 10 mg, comprimé orodispersible	comprimé orodispersible	orale
68432874	ARIPIPRAZOLE BGR 15 mg, comprimé	comprimé	orale
64041757	ARIPIPRAZOLE BGR 15 mg, comprimé orodispersible	comprimé orodispersible	orale
67687320	ARIPIPRAZOLE BGR 5 mg, comprimé	comprimé	orale
66013347	ARIPIPRAZOLE CRISTERS 10 mg, comprimé	comprimé	orale
62481238	ARIPIPRAZOLE CRISTERS 15 mg, comprimé	comprimé	orale
63364330	ARIPIPRAZOLE CRISTERS 5 mg, comprimé	comprimé	orale
63076762	ARIPIPRAZOLE EG 10 mg, comprimé	comprimé	orale
64877948	ARIPIPRAZOLE EG 10 mg, comprimé orodispersible	comprimé orodispersible	orale
61026419	ARIPIPRAZOLE EG 15 mg, comprimé	comprimé	orale
61983832	ARIPIPRAZOLE EG 15 mg, comprimé orodispersible	comprimé orodispersible	orale
66139762	ARIPIPRAZOLE EG 5 mg, comprimé	comprimé	orale
69380170	ARIPIPRAZOLE EVOLUGEN 10 mg, comprimé	comprimé	orale
63192279	ARIPIPRAZOLE EVOLUGEN 15 mg, comprimé	comprimé	orale
68190271	ARIPIPRAZOLE EVOLUGEN 5 mg, comprimé	comprimé	orale
68460101	ARIPIPRAZOLE KRKA 10 mg, comprimé	comprimé	orale
68478291	ARIPIPRAZOLE KRKA 15 mg, comprimé	comprimé	orale
64579108	ARIPIPRAZOLE KRKA 5 mg, comprimé	comprimé	orale
69179413	ARIPIPRAZOLE MYLAN PHARMA 10 mg, comprimé	comprimé	orale
62461940	ARIPIPRAZOLE MYLAN PHARMA 15 mg, comprimé	comprimé	orale
67846744	ARIPIPRAZOLE MYLAN PHARMA 5 mg, comprimé	comprimé	orale
68340917	ARIPIPRAZOLE SANDOZ 10 mg, comprimé	comprimé	orale
60031071	ARIPIPRAZOLE SANDOZ 10 mg, comprimé orodispersible	comprimé orodispersible	orale
60136439	ARIPIPRAZOLE SANDOZ 15 mg, comprimé	comprimé	orale
66181067	ARIPIPRAZOLE SANDOZ 15 mg, comprimé orodispersible	comprimé orodispersible	orale
66508679	ARIPIPRAZOLE SANDOZ 5 mg, comprimé	comprimé	orale
65200340	ARIPIPRAZOLE TEVA 10 mg, comprimé	comprimé	orale
60140882	ARIPIPRAZOLE TEVA 10 mg, comprimé orodispersible	comprimé orodispersible	orale
64807679	ARIPIPRAZOLE TEVA 15 mg, comprimé	comprimé	orale
67941085	ARIPIPRAZOLE TEVA 15 mg, comprimé orodispersible	comprimé orodispersible	orale
68850795	ARIPIPRAZOLE TEVA 5 mg, comprimé	comprimé	orale
65993464	ARIPIPRAZOLE VIATRIS 10 mg, comprimé orodispersible	comprimé orodispersible	orale
61100905	ARIPIPRAZOLE VIATRIS 15 mg, comprimé orodispersible	comprimé orodispersible	orale
66232519	ARIPIPRAZOLE ZENTIVA 10 mg, comprimé	comprimé	orale
66459641	ARIPIPRAZOLE ZENTIVA 15 mg, comprimé	comprimé	orale
66988915	ARIPIPRAZOLE ZENTIVA 5 mg, comprimé	comprimé	orale
66950163	ARIPIPRAZOLE ZYDUS 10 mg, comprimé	comprimé	orale
68814685	ARIPIPRAZOLE ZYDUS 15 mg, comprimé	comprimé	orale
68349332	ARIPIPRAZOLE ZYDUS 5 mg, comprimé	comprimé	orale
65716620	ARISTOLOCHIA CLEMATITIS BOIRON, degré de dilution compris entre 13CH et 30CH ou entre 26DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
67538173	ARISTOLOCHIA CLEMATITIS LEHNING, degré de dilution compris entre 13CH et 30CH ou entre 26DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
61469681	ARIXTRA 10 mg/0,8 ml, solution injectable en seringue pré-remplie	solution injectable	sous-cutanée
64683217	ARIXTRA 2,5 mg/0,5 ml, solution injectable en seringue pré-remplie	solution injectable	"intraveineuse;sous-cutanée"
67164882	ARIXTRA 5 mg/0,4 ml, solution injectable en seringue pré-remplie	solution injectable	sous-cutanée
66048056	ARIXTRA 7,5 mg/0,6 ml, solution injectable en seringue pré-remplie	solution injectable	sous-cutanée
68675068	ARKOGELULES ARTICHAUT, gélule	gélule	orale
67144043	ARKOGELULES AUBEPINE, gélule	gélule	orale
61105471	ARKOGELULES BARDANE, gélule	gélule	orale
62675093	ARKOGELULES BUSSEROLE, gélule	gélule	orale
60107932	ARKOGELULES CHARBON VEGETAL, gélule	gélule	orale
69615679	ARKOGELULES CHARDON MARIE, gélule	gélule	orale
69812153	ARKOGELULES ESCHSCHOLTZIA, gélule	gélule	orale
67347175	ARKOGELULES FUMETERRE, gélule	gélule	orale
63942962	ARKOGELULES HARPAGOPHYTON, gélule	gélule	orale
68840363	ARKOGELULES MARRONNIER D'INDE, gélule	gélule	orale
63353608	ARKOGELULES MATE, gélule	gélule	orale
69958368	ARKOGELULES MELISSE, gélule	gélule	orale
60448702	ARKOGELULES MILLEPERTUIS, gélule	gélule	orale
61224956	ARKOGELULES ORTHOSIPHON, gélule	gélule	orale
68710804	ARKOGELULES PASSIFLORE, gélule	gélule	orale
65534169	ARKOGELULES REINE DES PRES, gélule	gélule	orale
64879963	ARKOGELULES VALERIANE, gélule	gélule	orale
61806426	ARMISARTE 25 mg/ml, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
61142295	ARNICA COMPLEXE N°1, solution buvable en gouttes	solution buvable en gouttes	sublinguale
60584638	ARNICA DU SAINT-BERNARD, gel	gel	cutanée
67123693	ARNICA MONTANA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
63971017	ARNICA MONTANA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  solution en gouttes en gouttes	"orale;sublinguale"
60846994	ARNICA MONTANA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
64961474	ARNICA MONTANA TEINTURE MERE BOIRON, liquide pour application cutanée	solution pour application	cutanée
62701435	ARNICA MONTANA TEINTURE MERE WELEDA, solution pour application cutanée	solution pour application	cutanée
61556606	ARNICA MONTANA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  crème et  solution en gouttes en gouttes	"cutanée;orale;sublinguale"
63566022	ARNICA MONTANA radix WELEDA, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH	granules et  poudre et  solution en gouttes en gouttes	"orale;sublinguale"
69572701	ARNICAGEL, gel	gel	cutanée
67810075	ARNICALME, comprimé orodispersible	comprimé orodispersible	sublinguale
67082677	ARNICAN 4 POUR CENT, crème	crème	cutanée
60019350	ARNIGEL, gel	gel	cutanée
61763124	ARNITROSIUM, comprimé sublingual	comprimé	sublinguale
61674405	AROLAC 0,2 mg, comprimé sécable	comprimé sécable	orale
62757042	AROMASINE 25 mg, comprimé enrobé	comprimé enrobé	orale
67154087	AROMASINE 25 mg, comprimé enrobé	comprimé enrobé	orale
68423590	AROMASINE 25 mg, comprimé enrobé	comprimé enrobé	orale
69225138	AROMASINE 25 mg, comprimé enrobé	comprimé enrobé	orale
69233035	AROMASINE 25 mg, comprimé enrobé	comprimé enrobé	orale
60411052	AROMASINE 25 mg, comprimé enrobé	comprimé enrobé	orale
62859175	AROMASINE 25 mg, comprmé enrobé	comprimé enrobé	orale
69068587	AROMASOL, solution pour inhalation par fumigation	solution pour inhalation par fumigation	inhalée
65979518	ARPHOS, solution buvable	solution buvable	orale
64755271	ARSENIC TRIOXIDE ACCORD 1 mg /mL, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
65847210	ARSENIC TRIOXIDE MYLAN 1 mg/mL, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
63541065	ARSENIC TRIOXYDE ARROW 1 mg/mL, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
66299902	ARSENICUM ALBUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
68887975	ARSENICUM ALBUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
63969240	ARSENICUM ALBUM WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 crème et solution et granules et poudre	"cutanée;orale;sublinguale"
68137151	ARSENICUM IODATUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
64836392	ARSENICUM IODATUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
62551836	ARSENICUM IODATUM WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	granules et  poudre et  solution en gouttes en gouttes	"orale;sublinguale"
61981742	ARSENICUM METALLICUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
62174933	ART 50 mg, gélule	gélule	orale
67900409	ARTANE 0,4 POUR CENT, solution buvable en gouttes	solution buvable gouttes	orale
61285788	ARTANE 10 mg/ 5ml, solution injectable en ampoule	solution injectable	intramusculaire
60379544	ARTANE 2 mg, comprimé	comprimé	orale
65387616	ARTANE 5 mg, comprimé	comprimé	orale
65042132	ARTELAC 1,6 mg/0,5 mL, collyre en récipient unidose	collyre	ophtalmique
62681502	ARTEMISIA ABSINTHIUM, infusé WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  solution en gouttes en gouttes	"orale;sublinguale"
67848617	ARTEMISIA VULGARIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
68142433	ARTEMISIA VULGARIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60063973	ARTERE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
62929218	ARTERE CORONAIRE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
69735415	ARTERE WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	granules et  solution en gouttes en gouttes	"orale;sublinguale"
69859092	ARTEX 5 mg, comprimé enrobé sécable	comprimé enrobé sécable	orale
65862059	ARTHROCINE 100 mg, comprimé	comprimé	orale
62028152	ARTHROCINE 200 mg, comprimé sécable	comprimé sécable	orale
69865070	ARTHRODONT 1 POUR CENT, pâte gingivale	pâte	gingivale
62819298	ARTICADENT 1/100 000, solution injectable à usage dentaire	solution injectable pour usage dentaire	"dentaire;infiltration;périneurale"
61497549	ARTICADENT 1/200 000, solution injectable à usage dentaire	solution injectable pour usage dentaire	dentaire
64753847	ARTINIBSA 40 mg/mL ADRENALINE 1/100 000, solution injectable à usage dentaire	solution injectable pour usage dentaire	"dentaire;sous-muqueuse"
61940980	ARTINIBSA 40 mg/mL ADRENALINE 1/200 000, solution injectable à usage dentaire	solution injectable pour usage dentaire	"dentaire;sous-muqueuse"
60314272	ARTIREM 0,0025 mmol/ml, solution injectable	solution injectable	intra-articulaire
67563080	ARTISIAL, solution pour pulvérisation endo-buccale	solution pour pulvérisation endo-buccal(e)	voie buccale autre
69339049	ARTISS, solutions pour colle	solution et  solution pour colle	épilésionnelle
60739234	ARTOTEC 50 mg/0,2 mg, comprimé gastro-résistant	comprimé gastro-résistant(e)	orale
66877523	ARTOTEC 75 mg/0,2 mg, comprimé gastro-résistant	comprimé gastro-résistant(e)	orale
62215522	ARUM DRACUNCULUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
65497614	ARUM MACULATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
65150485	ARUM TRIPHYLLUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60051024	ARUM TRIPHYLLUM COMPOSE BOIRON	granules	"orale;sublinguale"
67454056	ARUM TRIPHYLLUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
63873936	ARUNDO DONAX BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60318954	ARUNDO DONAX LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
64598731	ARZERRA 100 mg, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
67423712	ARZERRA 1000 mg, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse
68056906	ASA FOETIDA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
62575926	ASA FOETIDA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
60619320	ASA FOETIDA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  solution en gouttes en gouttes	"orale;sublinguale"
62481715	ASARUM EUROPAEUM BOIRON, degré de dilution compris entre 13CH et 30CH ou entre 26DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
64866332	ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée	gélule à libération prolongée	orale
69516026	ASCABIOL 10 %, émulsion pour application cutanée	émulsion pour application	cutanée
60077460	ASCLEPIAS TUBEROSA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
63864773	ASCLEPIAS VINCETOXICUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
61521103	ASCOFER 33 mg, gélule	gélule	orale
60894334	ASCORBATE DE CALCIUM RICHARD 100 mg ENFANTS, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
65239674	ASCORBATE DE CALCIUM RICHARD ADULTES, granulés	granulés	orale
64086827	ASIMINA TRILOBA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
69337532	ASMANEX TWISTHALER 200 microgrammes/dose, poudre pour inhalation	poudre pour inhalation	inhalée
60268519	ASMANEX TWISTHALER 400 microgrammes/dose, poudre pour inhalation	poudre pour inhalation	inhalée
67122869	ASMELOR NOVOLIZER 12 microgrammes/dose, poudre pour inhalation	poudre pour inhalation	inhalée
69655937	ASPARAGUS OFFICINALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
67568483	ASPAVELI 1080 mg, solution pour perfusion	solution pour perfusion	sous-cutanée
61162942	ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
63936571	ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
66311831	ASPEGIC ENFANTS 250 mg, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	poudre et  solution pour préparation injectable	"intramusculaire;intraveineuse"
68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	poudre et  solution pour usage parentéral	"intramusculaire;intraveineuse"
66769394	ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose	poudre pour solution buvable	orale
64188180	ASPERGILLUS BRONCHIALIS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
67672247	ASPERGILLUS NIGER BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
63953357	ASPERULA ODORATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
65057344	ASPIDIUM FILIX MAS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	"cutanée;orale;sublinguale"
62358794	ASPIRINE 500 mg VITAMINE C OBERLIN, comprimé effervescent	comprimé effervescent(e) sécable	orale
61946403	ASPIRINE ARROW 100 mg, comprimé gastro-résistant	comprimé gastro-résistant(e)	orale
69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	comprimé à croquer	orale
68799614	ASPIRINE DU RHÔNE 500 mg, comprimé	comprimé	orale
61464022	ASPIRINE PROTECT 100 mg, comprimé gastro-résistant	comprimé gastro-résistant(e)	orale
64872883	ASPIRINE PROTECT 300 mg, comprimé gastro-résistant	comprimé gastro-résistant(e)	orale
65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	comprimé effervescent(e)	orale
61172160	ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent	comprimé effervescent(e)	orale
67831952	ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent	comprimé effervescent(e)	orale
